/TP0/D (Vm=0.1) X,/TP0/D (Vm=0.1) Y,/TP0/D (Vm=0.2) X,/TP0/D (Vm=0.2) Y,/TP0/D (Vm=0.3) X,/TP0/D (Vm=0.3) Y,/TP0/D (Vm=0.4) X,/TP0/D (Vm=0.4) Y,/TP0/D (Vm=0.5) X,/TP0/D (Vm=0.5) Y
-0.7,1.096590214551268e-08,-0.7,7.86720183415336e-08,-0.7,3.607891896218804e-07,-0.7,1.032233746781044e-06,-0.7,2.182281957983524e-06
-0.6719999999999999,7.940724301939966e-09,-0.6719999999999999,5.985549724085782e-08,-0.6719999999999999,2.98169677885082e-07,-0.6719999999999999,9.040019557259038e-07,-0.6719999999999999,1.975997467071597e-06
-0.6439999999999999,5.743479399542832e-09,-0.6439999999999999,4.510010093674312e-08,-0.6439999999999999,2.438727102976062e-07,-0.6439999999999999,7.868188563256562e-07,-0.6439999999999999,1.782670992509514e-06
-0.6159999999999999,4.148657152090163e-09,-0.6159999999999999,3.36943547253471e-08,-0.6159999999999999,1.972923963662411e-07,-0.6159999999999999,6.802451014143706e-07,-0.6159999999999999,1.601916175230394e-06
-0.5879999999999999,2.993978794992674e-09,-0.5879999999999999,2.499238513591234e-08,-0.5879999999999999,1.578083975916157e-07,-0.5879999999999999,5.838424943296164e-07,-0.5879999999999999,1.433356564978631e-06
-0.5599999999999998,2.159426430358086e-09,-0.5599999999999998,1.842857799474125e-08,-0.5599999999999998,1.247753279714993e-07,-0.5599999999999998,4.971683514168523e-07,-0.5599999999999998,1.276623663600251e-06
-0.5319999999999998,1.556956813733686e-09,-0.5319999999999998,1.352478767925274e-08,-0.5319999999999998,9.752544129774973e-08,-0.5319999999999998,4.197716011307989e-07,-0.5319999999999998,1.131354966992016e-06
-0.5039999999999998,1.122361485961925e-09,-0.5039999999999998,9.889577303776924e-09,-0.5039999999999998,7.537603896002942e-08,-0.5039999999999998,3.51188602191128e-07,-0.5039999999999998,9.97191961216276e-07
-0.4759999999999998,8.090096613046198e-10,-0.4759999999999998,7.211252596796863e-09,-0.4759999999999998,5.764215695845579e-08,-0.4759999999999998,2.909387413920536e-07,-0.4759999999999998,8.737779869989228e-07
-0.4479999999999997,5.83134951419173e-10,-0.4479999999999997,5.247233828688109e-09,-0.4479999999999997,4.365383909056039e-08,-0.4479999999999997,2.385199968224462e-07,-0.4479999999999997,7.607558882398068e-07
-0.4199999999999997,4.203351674304297e-10,-0.4199999999999997,3.812146538360748e-09,-0.4199999999999997,3.277581886948231e-08,-0.4199999999999997,1.93404894103263e-07,-0.4199999999999997,6.577653253388873e-07
-0.3919999999999997,3.029988147731524e-10,-0.3919999999999997,2.766325051898427e-09,-0.3919999999999997,2.442619710612495e-08,-0.3919999999999997,1.550375701725794e-07,-0.3919999999999997,5.644396718625628e-07
-0.3639999999999997,2.184261140986068e-10,-0.3639999999999997,2.005669485688102e-09,-0.3639999999999997,1.809074469532103e-08,-0.3639999999999997,1.228329186865272e-07,-0.3639999999999997,4.804025499943796e-07
-0.3359999999999996,1.574637650098108e-10,-0.3359999999999996,1.453211807389128e-09,-0.3359999999999996,1.333059542436645e-08,-0.3359999999999996,9.617906418258266e-08,-0.3359999999999996,4.05263884646071e-07
-0.3079999999999996,1.135162977681936e-10,-0.3079999999999996,1.052382222969471e-09,-0.3079999999999996,9.782976845570543e-09,-0.3079999999999996,7.444421431739355e-08,-0.3079999999999996,3.386155761911147e-07
-0.2799999999999996,8.183175106429045e-11,-0.2799999999999996,7.617838063023726e-10,-0.2799999999999996,7.156255743696431e-09,-0.2799999999999996,5.69885399568708e-08,-0.2799999999999996,2.800268629673837e-07
-0.2519999999999996,5.898632376285496e-11,-0.2519999999999996,5.512183073960383e-10,-0.2519999999999996,5.221388733444448e-09,-0.2519999999999996,4.318057582315406e-08,-0.2519999999999996,2.290396242763494e-07
-0.2239999999999996,4.251292411904691e-11,-0.2239999999999996,3.987065226166798e-10,-0.2239999999999996,3.801849101560198e-09,-0.2239999999999996,3.241623382134577e-08,-0.2239999999999996,1.851640855265409e-07
-0.1959999999999996,3.063358126169439e-11,-0.1959999999999996,2.882770331314928e-10,-0.1959999999999996,2.763591645007755e-09,-0.1959999999999996,2.413736650156496e-08,-0.1959999999999996,1.478756687485068e-07
-0.1679999999999996,2.206672545255522e-11,-0.1679999999999996,2.083370595888696e-10,-0.1679999999999996,2.005989969334188e-09,-0.1679999999999996,1.784659523703148e-08,-0.1679999999999996,1.166140197866204e-07
-0.1399999999999996,1.588838803083004e-11,-0.1399999999999996,1.504783008071343e-10,-0.1399999999999996,1.454158626303982e-09,-0.1399999999999996,1.311607125022328e-08,-0.1399999999999996,9.078541050482724e-08
-0.1119999999999996,1.14321816571239e-11,-0.1119999999999996,1.086043832250469e-10,-0.1119999999999996,1.052723509989299e-09,-0.1119999999999996,9.589504375011364e-09,-0.1119999999999996,6.976931485902404e-08
-0.08399999999999958,8.216696759082125e-12,-0.08399999999999958,7.829001770056003e-11,-0.08399999999999958,7.608731331636151e-10,-0.08399999999999958,6.978001367985877e-09,-0.08399999999999958,5.292507380502546e-08
-0.05599999999999958,5.870297894828727e-12,-0.05599999999999958,5.609620895079857e-11,-0.05599999999999958,5.464170213973462e-10,-0.05599999999999958,5.032024196962221e-09,-0.05599999999999958,3.940901153730372e-08
-0.02799999999999958,3.743299514094474e-12,-0.02799999999999958,3.587378721275344e-11,-0.02799999999999958,3.500940174943159e-10,-0.02799999999999958,3.227379981813976e-09,-0.02799999999999958,2.563931341277388e-08
0,-9.116440394886789e-16,0,-9.116440394886789e-16,0,-9.116440394886789e-16,0,-9.116440394886789e-16,0,-9.116440394886789e-16
0.028,-1.412738506959447e-11,0.028,-1.360070845660326e-10,0.028,-1.32348481776964e-09,0.028,-1.157562566647737e-08,0.028,-7.270331488265239e-08
0.05599999999999999,-8.355082395898404e-11,0.05599999999999999,-8.042743391849568e-10,0.05599999999999999,-7.634749281874434e-09,0.05599999999999999,-5.686380471109784e-08,0.05599999999999999,-2.519584255246657e-07
0.08399999999999999,-4.40447884254921e-10,0.08399999999999999,-4.191912426836009e-09,0.08399999999999999,-3.581462868784678e-08,0.08399999999999999,-1.904718495474432e-07,0.08399999999999999,-5.906021293081279e-07
0.112,-2.292397557341865e-09,0.112,-2.054239698944519e-08,0.112,-1.327300847865365e-07,0.112,-4.755678265288224e-07,0.112,-1.126501624414521e-06
0.14,-1.154590440942778e-08,0.14,-8.454773042686588e-08,0.14,-3.642708354620217e-07,0.14,-9.553514218669675e-07,0.14,-1.881983809641574e-06
0.168,-5.162445545727366e-08,0.168,-2.599062697010046e-07,0.168,-7.815333750200604e-07,0.168,-1.654492820446695e-06,0.168,-2.868480574133758e-06
0.196,-1.782191033562829e-07,0.196,-6.063265539546424e-07,0.196,-1.414583717956573e-06,0.196,-2.58684948013945e-06,0.196,-4.091150999888766e-06
0.224,-4.573068867820546e-07,0.224,-1.161036234460297e-06,0.224,-2.280391861881976e-06,0.224,-3.75992103931869e-06,0.224,-5.548067773221973e-06
0.252,-9.345467734007202e-07,0.252,-1.945081246209729e-06,0.252,-3.388398878728849e-06,0.252,-5.177120294808047e-06,0.252,-7.223282023635626e-06
0.28,-1.636021639054238e-06,0.28,-2.970312602448381e-06,0.28,-4.74334564516855e-06,0.28,-6.839014624240716e-06,0.28,-9.091435812735153e-06
0.3080000000000001,-2.576465950482505e-06,0.3080000000000001,-4.243026483998933e-06,0.3080000000000001,-6.346784922898567e-06,0.3080000000000001,-8.744029462730662e-06,0.3080000000000001,-1.112670191997263e-05
0.3360000000000001,-3.763980444790218e-06,0.3360000000000001,-5.765844236783044e-06,0.3360000000000001,-8.19797822704192e-06,0.3360000000000001,-1.088837863728202e-05,0.3360000000000001,-1.330405846254025e-05
0.3640000000000001,-5.202399412024716e-06,0.3640000000000001,-7.538790639749152e-06,0.3640000000000001,-1.029447764762415e-05,0.3640000000000001,-1.326118954293891e-05,0.3640000000000001,-1.560088071759153e-05
0.3920000000000001,-6.892597575440406e-06,0.3920000000000001,-9.559977405895224e-06,0.3920000000000001,-1.263252405319917e-05,0.3920000000000001,-1.583461478885351e-05,0.3920000000000001,-1.799689504554263e-05
0.4200000000000002,-8.833294385172579e-06,0.4200000000000002,-1.182607096509658e-05,0.4200000000000002,-1.520726920777735e-05,0.4200000000000002,-1.857110377909128e-05,0.4200000000000002,-2.047303184088891e-05
0.4480000000000002,-1.102159314173945e-05,0.4480000000000002,-1.433263049547693e-05,0.4480000000000002,-1.801200123551817e-05,0.4480000000000002,-2.142158232662344e-05,0.4480000000000002,-2.301001810561054e-05
0.4760000000000002,-1.345336546811569e-05,0.4760000000000002,-1.707435962884745e-05,0.4760000000000002,-2.102974728479333e-05,0.4760000000000002,-2.433254598137921e-05,0.4760000000000002,-2.558869132473402e-05
0.5040000000000002,-1.612353763807837e-05,0.5040000000000002,-2.004527923286019e-05,0.5040000000000002,-2.422818058093664e-05,0.5040000000000002,-2.725452973751001e-05,0.5040000000000002,-2.818900588744244e-05
0.5320000000000003,-1.902631006133191e-05,0.5320000000000003,-2.323860017262439e-05,0.5320000000000003,-2.756541318422394e-05,0.5320000000000003,-3.014783210614471e-05,0.5320000000000003,-3.079374770228328e-05
0.5600000000000003,-2.215532794699612e-05,0.5600000000000003,-2.664313130048302e-05,0.5600000000000003,-3.097081445773323e-05,0.5600000000000003,-3.298559482540114e-05,0.5600000000000003,-3.339442900813874e-05
0.5880000000000003,-2.550380890540021e-05,0.5880000000000003,-3.022957240357518e-05,0.5880000000000003,-3.434857404895209e-05,0.5880000000000003,-3.576187035391804e-05,0.5880000000000003,-3.599750880884409e-05
0.6160000000000003,-2.906456799765795e-05,0.6160000000000003,-3.396155465414609e-05,0.6160000000000003,-3.761176836212065e-05,0.6160000000000003,-3.849698254540678e-05,0.6160000000000003,-3.862228440832429e-05
0.6440000000000003,-3.282900784304943e-05,0.6440000000000003,-3.778209556564239e-05,0.6440000000000003,-4.072659937768501e-05,0.6440000000000003,-4.122702379666465e-05,0.6440000000000003,-4.129010279327139e-05
0.6720000000000004,-3.677715395396257e-05,0.6720000000000004,-4.159865916052728e-05,0.6720000000000004,-4.372346742707643e-05,0.6720000000000004,-4.39854773143814e-05,0.6720000000000004,-4.401627189213823e-05
0.7,-4.087140584654589e-05,0.7,-4.530123295293222e-05,0.7,-4.666364203232326e-05,0.7,-4.679441354096959e-05,0.7,-4.680921431199644e-05
